tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
cg01030481,cg16545743,cg26175729,cg08500171,cg20285546,cg11489251
cg09415274,cg04704634,cg23160428,cg00774102,cg04752716,cg08463024
cg04809948,cg11086697,cg19414780,cg04397817,cg01586682,cg21179831
cg18264548,cg11212312,cg02501120,cg25516853,cg26263766,cg24332685
cg07000551,cg25474070,cg22134611,cg04257745,cg21994576,cg24124954
cg15832314,cg01997759,cg11367539,cg10618221,cg21020710,cg26408612
cg15269751,cg07870237,cg09884940,cg07825007,cg11279918,cg20804756
cg22494142,cg12854656,cg00139389,cg27244082,cg00683895,cg26177760
cg05728786,cg01185278,cg23719549,cg13465723,cg01859739,cg09981533
cg26278858,cg19986872,cg09330923,cg02444305,cg16187092,cg15647614
cg11737246,cg04206517,cg07243147,cg02700447,cg21155461,cg09878914
cg22812697,cg18254147,cg01106572,cg08961072,cg21747958,cg05945401
cg08733315,cg01573938,cg12513221,cg14070867,cg04352026,cg04219977
cg06922772,cg09547173,cg00533407,cg03399814,cg08397273,cg26863842
cg00511731,cg02257405,cg21101226,cg16983152,cg10051935,cg08288345
cg09587957,cg00425827,cg01624004,cg00107914,cg14386312,cg05520988
cg12929983,cg25309041,cg27070808,cg23905524,cg24801244,cg05216536
cg18494902,cg11010552,cg09782903,cg10489928,cg15032393,cg01341355
cg07887985,cg10200391,cg03734783,cg26805346,cg17130812,cg09061207
cg26662201,cg16336752,cg06648495,cg10002888,cg17101553,cg09235535
cg02313495,cg24786495,cg07698638,cg13260377,cg15245120,cg22290047
cg17809595,cg02698332,cg02920383,cg21834739,cg20667230,cg17742434
cg12378950,cg14841483,cg10289177,cg17009731,cg19518132,cg03877381
cg24359188,cg09035699,cg01901107,cg20826416,cg21988233,cg17439097
cg18039797,cg27097034,cg01650776,cg22863628,cg23548487,cg07845011
cg07710833,cg17228898,cg16801613,cg08744878,cg18281016,cg21545988
cg08636638,cg12047722,cg26102146,cg18798086,cg07122126,cg24477778
cg19115695,cg18918484,cg07184237,cg11360931,cg20622311,cg24515095
cg27062904,cg03417317,cg09679690,cg23170237,cg14204064,cg02362020
cg00190738,cg22738278,cg02203833,cg19400739,cg05960240,cg23752963
cg16110711,cg14568384,cg09732190,cg27099493,cg08291996,cg10958126
cg16451027,cg11349991,cg11368578,cg15449023,cg11641391,cg23224191
cg27379240,cg12290779,cg17852987,cg13961425,cg11756734,cg20443451
cg11057897,cg01275830,cg20392105,cg21464591,cg26277809,cg14646094
cg07003745,cg19694241,cg09515778,cg15653559,cg02299205,cg02481669
cg04011030,cg04703950,cg08515845,cg09365542,cg19642100,cg04048339
cg16481008,cg19018709,cg02562122,cg10667484,cg26520371,cg26921068
cg18315896,cg02507296,cg02540011,cg20760427,cg07719547,cg06434490
cg01528425,cg15541611,cg21959181,cg25965888,cg19866422,cg16171137
cg08934600,cg02040734,cg22740703,cg20369513,cg05965417,cg16175906
cg18536802,cg06443918,cg22591433,cg23667405,cg14199415,cg14474158
cg26660754,cg18159463,cg03017418,cg08394355,cg12581035,cg13873889
cg08512345,cg10224216,cg20047235,cg19752083,cg02770112,cg10632955
cg04226363,cg08101174,cg06942561,cg23426633,cg09059548,cg25420482
cg11479000,cg13442016,cg18597031,cg25157615,cg09912793,cg24071200
cg23497707,cg15857661,cg04531694,cg01950810,cg08021945,cg21053741
cg25645338,cg05858126,cg16218204,cg12732864,cg22543924,cg21587837
cg14511739,cg05251190,cg02328113,cg20584712,cg25449315,cg19997861
cg22035501,cg08437570,cg17919020,cg05182583,cg17021933,cg06667961
cg11613015,cg25851152,cg13301722,cg02814864,cg11606261,cg06393830
cg14479889,cg09701700,cg15879755,cg23181413,cg27401989,cg04859102
cg16970232,cg12477931,cg02723617,cg19498147,cg03437025,cg24504194
cg03667968,cg18928584,cg27384352,cg00408224,cg13510262,cg16224951
cg20311501,cg05956183,cg21533727,cg13267247,cg23598562,cg09037630
cg23938220,cg00360718,cg06198351,cg09313188,cg00495415,cg15852826
cg02511809,cg11028409,cg24097436,cg05233877,cg08962767,cg06632549
cg21634602,cg26033879,cg01177956,cg23318990,cg26652092,cg14166520
cg12534150,cg19477001,cg21804273,cg19701014,cg01599904,cg20330447
cg24332422,cg19578881,cg27087150,cg20887391,cg13075709,cg10995925
cg15020645,cg15681023,cg10336600,cg25626453,cg01212840,cg14441276
cg01240931,cg10740367,cg01574787,cg11154666,cg10133578,cg14437551
cg11261691,cg10103942,cg01685739,cg03691635,cg19711815,cg14597739
cg01078772,cg04481603,cg13145017,cg15685889,cg09371042,cg16219283
cg16266809,cg10754935,cg10920230,cg22954787,cg15004702,cg21999229
cg12592359,cg14202146,cg10842164,cg25371129,cg09749638,cg17169196
cg00174466,cg14266862,cg22168987,cg18695778,cg13919694,cg02402436
cg10421984,cg00390945,cg22151713,cg02572517,cg22935821,cg09736959
cg10886678,cg17069702,cg18955629,cg15225418,cg26875137,cg24216966
cg18793288,cg10982567,cg25903588,cg04419856,cg17540671,cg11586857
cg04218270,cg20601314,cg19502841,cg05292460,cg09657354,cg10476003
cg21151769,cg18505495,cg17497176,cg26394227,cg08527797,cg01157951
cg16926526,cg20683565,cg01971363,cg02174486,cg22285914,cg22318806
cg09065199,cg10346121,cg06018240,cg03217090,cg02390588,cg13815684
cg24727216,cg00221745,cg04824535,cg25515481,cg16096531,cg17709873
cg01377358,cg20345589,cg20898078,cg22538505,cg19065106,cg16280132
cg23798714,cg01085228,cg15387987,cg13514037,cg16438602,cg03599224
cg11030124,cg25631022,cg02367856,cg03134653,cg08985885,cg21240855
cg17083429,cg00857182,cg06807926,cg00887255,cg25402480,cg14910524
cg06466203,cg09510780,cg18443486,cg10851350,cg12074780,cg27531490
cg08602305,cg13548361,cg02086046,cg19673418,cg02015004,cg24452282
cg18665732,cg04359129,cg26975609,cg18712755,cg09778867,cg11484872
cg03891929,cg23402444,cg01547051,cg01282751,cg02947361,cg21370522
cg16687447,cg17773020,cg09594696,cg10683435,cg10448052,cg01569083
cg06947206,cg18817750,cg24996433,cg00180097,cg05224385,cg03037030
cg23753021,cg25044306,cg16677885,cg08367659,cg22861965,cg12681001
cg20849549,cg14581419,cg09171577,cg04173139,cg00559473,cg21222743
cg13885325,cg01981762,cg19835606,cg22503047,cg08253513,cg10717214
cg19659388,cg09599130,cg01139039,cg14722070,cg02427438,cg04425624
cg17114151,cg24770596,cg14323210,cg13478588,cg12104984,cg21467614
cg05947570,cg23967554,cg11082959,cg15600966,cg10765909,cg08553327
cg10041390,cg26089160,cg18068487,cg19880646,cg02299189,cg26729380
cg16443434,cg06700877,cg11823624,cg07827717,cg23032316,cg10650821
cg18819818,cg05131533,cg15922246,cg25343331,cg22373810,cg17741993
cg08960754,cg14021564,cg10702041,cg12484352,cg12499542,cg01360627
cg18384060,cg17455799,cg27131953,cg16793622,cg18715299,cg23384708
cg16686761,cg10203034,cg27608032,cg25661358,cg20910352,cg20477259
cg07263825,cg15927865,cg07312641,cg15497818,cg17088290,cg15989608
cg09550257,cg20303995,cg12633680,cg25823710,cg10063575,cg26736341
cg09528884,cg08878967,cg04025965,cg10369594,cg20406747,cg04472685
cg01354923,cg23256466,cg25872281,cg16278747,cg27360762,cg19124225
cg16404460,cg26571105,cg25302888,cg14308867,cg00589573,cg02137984
cg21573601,cg25095612,cg22011804,cg08677954,cg23344935,cg06825478
cg26090855,cg20203089,cg22984132,cg21982924,cg07223803,cg17755321
cg18953873,cg09269103,cg03168922,cg08596308,cg05492964,cg14306709
cg18141918,cg19990454,cg15022844,cg22369037,cg09415057,cg24540603
cg27299538,cg23606922,cg03104561,cg10271061,cg05677248,cg23204396
cg04059318,cg08234927,cg03519451,cg20248972,cg07989501,cg00900444
cg10205334,cg02205181,cg10988288,cg00585846,cg00054511,cg02104962
cg17557106,cg23738770,cg01704862,cg23154743,cg13863009,cg14868222
cg03214660,cg13542817,cg08628542,cg00002930,cg15117253,cg00731683
cg22564317,cg23044504,cg00367438,cg02030913,cg17739459,cg21029447
cg02261018,cg00987176,cg05753794,cg23249667,cg25971807,cg15804767
cg13528847,cg01177642,cg09205595,cg09739890,cg09371042,cg03880509
cg27422496,cg25634545,cg17841992,cg15649774,cg15004702,cg23826582
cg10930218,cg23227945,cg24143701,cg13074835,cg09749638,cg15025383
cg04707787,cg01483832,cg27550262,cg21996586,cg13919694,cg03702435
cg07655693,cg10079318,cg19768312,cg20510213,cg22935821,cg02075405
cg09472211,cg07981845,cg10757027,cg26309244,cg26875137,cg25827881
cg04738091,cg26894311,cg15650170,cg09630051,cg17540671,cg15553408
cg15412736,cg24418792,cg10813610,cg14642291,cg09657354,cg24926370
cg04582473,cg25811402,cg10855246,cg10798764,cg08527797,cg27245606
cg06731059,cg20724107,cg07847101,cg04016730,cg22285914,cg23351030
cg25452974,cg02631092,cg22169990,cg10218472,cg02390588,cg10196103
cg26127345,cg20457544,cg21887193,cg16268563,cg16096531,cg01106410
cg27084903,cg16120196,cg02158565,cg26478079,cg19065106,cg13150632
cg19358349,cg16562486,cg02549844,cg14136042,cg16438602,cg12234287
cg19634213,cg01787944,cg12538435,cg00438026,cg08985885,cg14208573
cg04616691,cg03296283,cg04712895,cg23191370,cg25402480,cg19818722
cg01228636,cg23226249,cg12599641,cg16444909,cg12074780,cg11930820
cg04824711,cg20141398,cg12210457,cg16806077,cg02015004,cg26311932
cg20337093,cg00829990,cg19752686,cg02358755,cg09778867,cg24479522
cg21480743,cg22377505,cg05951573,cg04277232,cg02947361,cg26724726
cg24277705,cg17941579,cg14794786,cg00023321,cg10448052,cg06526741
cg26749475,cg14653390,cg21657490,cg23165226,cg05224385,cg19279042
cg17061179,cg25037000,cg25454298,cg27611005,cg22861965,cg13335388
cg03265692,cg23260554,cg00301679,cg21079591,cg00559473,cg02249390
cg01765473,cg17025560,cg27437510,cg03031988,cg08253513,cg06887580
cg00779130,cg14093144,cg04268401,cg26764200,cg02427438,cg18384277
cg00052290,cg15211996,cg21900829,cg21699509,cg12104984,cg18656170
cg16780568,cg13871495,cg08708553,cg13156044,cg10765909,cg23509869
cg24552431,cg05348888,cg00454864,cg19740491,cg02299189,cg16795830
cg19354023,cg04716261,cg11817411,cg04136480,cg23032316,cg04836028
cg04543156,cg18123385,cg04657062,cg09230467,cg22373810,cg09531959
cg05088680,cg14365123,cg03919453,cg10951305,cg08104032,cg27616007
cg14259520,cg24669191,cg01501264,cg03357730,cg26361646,cg14324675
cg02307823,cg10888031,cg01068407,cg00853714,cg02218394,cg19271190
cg06154903,cg06169627,cg05073130,cg17489752,cg11521780,cg03739609
cg18518074,cg07795402,cg18583378,cg19234301,cg02574894,cg16167809
cg16434190,cg05162202,cg27594583,cg01138972,cg03592103,cg25664715
cg11321083,cg13947317,cg00871390,cg18821320,cg14603867,cg23254538
cg04038246,cg23087661,cg00917003,cg25984249,cg10128753,cg27490128
cg07019638,cg10122878,cg25337691,cg00124488,cg20591337,cg12573002
cg14378925,cg27531496,cg04994447,cg12244756,cg20181254,cg23484380
cg10495164,cg10528457,cg01081096,cg11305058,cg12024530,cg08610982
cg14317884,cg12304133,cg12229082,cg14159895,cg11203215,cg15311651
cg23851932,cg26864691,cg22226532,cg14182431,cg08116238,cg27238866
cg01151584,cg06866827,cg18541211,cg04431990,cg20408175,cg12753631
cg17344040,cg00169776,cg20456055,cg16981259,cg03624316,cg14694191
cg23881697,cg06201717,cg20798412,cg00916439,cg16174341,cg24211388
cg05150973,cg24150662,cg05429359,cg02000145,cg10667986,cg01674119
cg27273054,cg13491144,cg02615599,cg11671290,cg02634544,cg21440587
cg15678817,cg06792538,cg15447715,cg14373189,cg23130686,cg19563932
cg09374353,cg10511255,cg07222181,cg26696685,cg15085223,cg18113826
cg15202848,cg00113369,cg12500498,cg21024122,cg10107186,cg04812347
cg16572600,cg23969554,cg03428881,cg24294399,cg20997463,cg12674490
cg01170276,cg07523753,cg01166674,cg04211275,cg26931488,cg00811535
cg05485853,cg09074856,cg13396382,cg04755523,cg07661836,cg13690543
cg08028295,cg27197651,cg26175729,cg24631162,cg08092863,cg07387607
cg21721065,cg04484550,cg23160428,cg11489251,cg00159614,cg19400055
cg05474055,cg01514538,cg19414780,cg08463024,cg04065151,cg08413657
cg04258272,cg12050271,cg02501120,cg21179831,cg25696949,cg21433105
cg02933228,cg05346286,cg22134611,cg24332685,cg03815350,cg01349370
cg17987027,cg04204526,cg11367539,cg24124954,cg15918766,cg00141143
cg20987132,cg08121686,cg09884940,cg26408612,cg16470529,cg03625897
cg24555834,cg08732466,cg00139389,cg20804756,cg25976786,cg04762213
cg16278877,cg03256938,cg23719549,cg26177760,cg15977026,cg18685724
cg24980551,cg06991974,cg09330923,cg09981533,cg10651300,cg10287187
cg15323937,cg07946633,cg07243147,cg15647614,cg13445358,cg26506725
cg14267099,cg10802480,cg01106572,cg09878914,cg19049858,cg14801418
cg01208537,cg12140144,cg12513221,cg05945401,cg12417667,cg27559893
cg10577273,cg11229543,cg00533407,cg04219977,cg10872457,cg15574924
cg02225305,cg07363855,cg21101226,cg26863842,cg13910493,cg11203714
cg22147163,cg01908338,cg01624004,cg08288345,cg17436656,cg11028563
cg06250751,cg04241652,cg27070808,cg05520988,cg12820608,cg00716752
cg05109931,cg08528984,cg09782903,cg05216536,cg01756660,cg02531797
cg23645046,cg17173498,cg03734783,cg01341355,cg22052955,cg09276739
cg14732852,cg26938364,cg06648495,cg09061207,cg18076651,cg23207361
cg23203302,cg04080595,cg07698638,cg09235535,cg02128564,cg22017797
cg09343150,cg07348009,cg02920383,cg22290047,cg13188202,cg15081882
cg16668394,cg25152368,cg10289177,cg17742434,cg14195318,cg10140190
cg06130144,cg08541612,cg01901107,cg03877381,cg07135303,cg20193104
cg23222197,cg08537652,cg01650776,cg17439097,cg15332241,cg18756579
cg18064219,cg15390554,cg16801613,cg07845011,cg08023809,cg22750384
cg22718071,cg13744917,cg26102146,cg21545988,cg12835684,cg25109908
cg02384565,cg12267948,cg07184237,cg24477778,cg13236315,cg03658282
cg04159488,cg17239558,cg09679690,cg24515095,cg12586596,cg24903176
cg00976692,cg07534194,cg02203833,cg02362020,cg03744437,cg15765212
cg18759725,cg22122862,cg09732190,cg23752963,cg12812760,cg14943908
cg25810379,cg18509466,cg11368578,cg10958126,cg00474734,cg17478749
cg19518383,cg01431482,cg17852987,cg23224191,cg27467734,cg02054431
cg22897141,cg25618424,cg20392105,cg20443451,cg23835453,cg17599748
cg10879244,cg26762347,cg09515778,cg14646094,cg10773017,cg10703453
cg19904522,cg04852443,cg08515845,cg02481669,cg08462730,cg23351738
cg11500390,cg17001566,cg02562122,cg04048339,cg25696949,cg16932560
cg10821722,cg22726349,cg02540011,cg26921068,cg03815350,cg11643442
cg16539346,cg25008795,cg21959181,cg16171137,cg15918766,cg08484337
cg04363513,cg14030836,cg22740703,cg16175906,cg16470529,cg06023161
cg19109909,cg16372810,cg22591433,cg14474158,cg25976786,cg16291917
cg18013356,cg06348826,cg03017418,cg13873889,cg15977026,cg18305324
cg25934954,cg17890044,cg20047235,cg10632955,cg10651300,cg07708721
cg09339876,cg08262220,cg06942561,cg25420482,cg13445358,cg13704497
cg13177921,cg25308086,cg18597031,cg24071200,cg19049858,cg18020072
cg06378491,cg00806481,cg04531694,cg21053741,cg12417667,cg08500171
cg14651616,cg22506548,cg16218204,cg21587837,cg10872457,cg00774102
cg04523868,cg24490279,cg02328113,cg19997861,cg13910493,cg04397817
cg18212762,cg02330501,cg17919020,cg06667961,cg17436656,cg25516853
cg25546409,cg10770533,cg13301722,cg06393830,cg12820608,cg04257745
cg03419136,cg07922619,cg15879755,cg04859102,cg01756660,cg10618221
cg07437286,cg04493316,cg02723617,cg24504194,cg22052955,cg07825007
cg13990672,cg04674248,cg27384352,cg16224951,cg18076651,cg27244082
cg14988347,cg10572807,cg21533727,cg09037630,cg06293049,cg13465723
cg20347986,cg09663655,cg06198351,cg15852826,cg13327134,cg02444305
cg11295902,cg07348768,cg24097436,cg06632549,cg13940444,cg02700447
cg11445760,cg21107944,cg01177956,cg14166520,cg04903962,cg08961072
cg20979732,cg25875953,cg21804273,cg20330447,cg11080062,cg14070867
cg09503975,cg15505198,cg27087150,cg10995925,cg04228764,cg03399814
cg14538048,cg03525023,cg10336600,cg14441276,cg13363525,cg16983152
cg03056341,cg13460934,cg01574787,cg14437551,cg08104462,cg00107914
cg23244455,cg14852736,cg01685739,cg14597739,cg20623371,cg23905524
cg03986574,cg24678113,cg13145017,cg16219283,cg03974423,cg10489928
cg06832820,cg09509365,cg10920230,cg21999229,cg15734706,cg26805346
cg04619046,cg27564383,cg10842164,cg17169196,cg16654152,cg10002888
cg05464016,cg08882612,cg22168987,cg02402436,cg15260268,cg13260377
cg18479798,cg23069843,cg22151713,cg09736959,cg20059012,cg21834739
cg22885062,cg22226775,cg18955629,cg24216966,cg09107344,cg17009731
cg00531009,cg06724693,cg25903588,cg11586857,cg10592478,cg20826416
cg26527105,cg21681320,cg19502841,cg10476003,cg13937905,cg22863628
cg02800396,cg00387551,cg17497176,cg01157951,cg09365924,cg08744878
cg05061107,cg10520026,cg01971363,cg22318806,cg21746001,cg18798086
cg03445006,cg15818632,cg06018240,cg13815684,cg27036638,cg11360931
cg01911077,cg27523417,cg04824535,cg17709873,cg15889057,cg23170237
cg17284162,cg03935455,cg20898078,cg16280132,cg17310754,cg19400739
cg03943509,cg12701603,cg15387987,cg03599224,cg08374799,cg27099493
cg10296062,cg05641535,cg02367856,cg21240855,cg01033299,cg15449023
cg25123866,cg21604357,cg06807926,cg14910524,cg26689077,cg13961425
cg11887214,cg08876274,cg18443486,cg27531490,cg14524975,cg21464591
cg26884581,cg07597386,cg02086046,cg24452282,cg20135711,cg15653559
cg02176069,cg24529814,cg26975609,cg11484872,cg04972065,cg09365542
cg09958483,cg14761019,cg01547051,cg21370522,cg23029655,cg10667484
cg11593247,cg06773295,cg09594696,cg01569083,cg11510999,cg20760427
cg04815835,cg12905252,cg24996433,cg03037030,cg08699196,cg25965888
cg24235466,cg01046951,cg16677885,cg12681001,cg00740389,cg20369513
cg08926035,cg10021614,cg09171577,cg21222743,cg25278343,cg23667405
cg02167717,cg27444751,cg19835606,cg10717214,cg04552292,cg08394355
cg03663788,cg26407161,cg01139039,cg04425624,cg17450815,cg19752083
cg14170423,cg20632748,cg14323210,cg21467614,cg14110920,cg23426633
cg02959637,cg02712922,cg11082959,cg08553327,cg00078245,cg25157615
cg11334214,cg03583979,cg18068487,cg26729380,cg25355635,cg01950810
cg05479196,cg03447135,cg11823624,cg10650821,cg03622831,cg12732864
cg23057706,cg06976533,cg15922246,cg17741993,cg17823076,cg20584712
cg25836271,cg10097755,cg10702041,cg01360627,cg19422652,cg05182583
cg25593194,cg05223638,cg27131953,cg23384708,cg23953233,cg02814864
cg00087273,cg12473797,cg27608032,cg20477259,cg12810190,cg23181413
cg16099624,cg16348158,cg07312641,cg15989608,cg22509041,cg19498147
cg16696648,cg21394778,cg12633680,cg26736341,cg08974225,cg00408224
cg21534931,cg07168837,cg04025965,cg04472685,cg01518659,cg13267247
cg22688160,cg26653867,cg25872281,cg19124225,cg04396185,cg09313188
cg08737815,cg13907655,cg25302888,cg02137984,cg24489813,cg05233877
cg27222219,cg01772149,cg22011804,cg06825478,cg20681735,cg23318990
cg11678423,cg14008571,cg22984132,cg17755321,cg14955615,cg19701014
cg03861428,cg24741666,cg03168922,cg14306709,cg05242244,cg20887391
cg12070379,cg09271661,cg15022844,cg24540603,cg19243330,cg25626453
cg07595554,cg26426080,cg03104561,cg23204396,cg02128564,cg11154666
cg24305835,cg22712408,cg03519451,cg00900444,cg13188202,cg03691635
cg18192519,cg11684115,cg10988288,cg02104962,cg14195318,cg15685889
cg10987625,cg10146008,cg01704862,cg14868222,cg07135303,cg22954787
cg13201187,cg23273418,cg08628542,cg00731683,cg15332241,cg25371129
cg09895189,cg04132510,cg00367438,cg21029447,cg08023809,cg18695778
cg04394641,cg23818827,cg05753794,cg15804767,cg12835684,cg02572517
cg24058669,cg21209214,cg09205595,cg03880509,cg13236315,cg15225418
cg06953703,cg18176395,cg17841992,cg23826582,cg12586596,cg04419856
cg20822990,cg22949832,cg24143701,cg15025383,cg03744437,cg05292460
cg02918893,cg12394168,cg27550262,cg03702435,cg12812760,cg26394227
cg11192270,cg10124445,cg19768312,cg02075405,cg00474734,cg02174486
cg22219083,cg00713435,cg10757027,cg25827881,cg27467734,cg03217090
cg18236739,cg20790030,cg15650170,cg15553408,cg23835453,cg25515481
cg26519403,cg20603162,cg10813610,cg24926370,cg10773017,cg22538505
cg15465571,cg09526693,cg10855246,cg27245606,cg08462730,cg13514037
cg13115616,cg25065535,cg07847101,cg23351030,cg23622353,cg03134653
cg12999103,cg03466093,cg22169990,cg10196103,cg05920345,cg00887255
cg22045253,cg05370988,cg21887193,cg01106410,cg00910127,cg10851350
cg16027378,cg27415969,cg02158565,cg13150632,cg22760420,cg19673418
cg07798137,cg14626678,cg02549844,cg12234287,cg02118776,cg18712755
cg05643703,cg13457961,cg12538435,cg14208573,cg05917988,cg01282751
cg18028575,cg08460226,cg04712895,cg19818722,cg19291355,cg10683435
